datetime,open,high,low,close,volume,symbol
2025-01-02 14:15:00,4163.0,4182.1,4160.75,4172.0,90398,TCS
2025-01-02 14:30:00,4172.0,4182.65,4170.3,4176.25,62347,TCS
2025-01-02 14:45:00,4176.25,4181.05,4174.5,4177.15,36608,TCS
2025-01-02 15:00:00,4177.25,4183.0,4173.05,4174.95,217504,TCS
2025-01-02 15:15:00,4174.95,4178.25,4156.4,4166.0,221522,TCS
2025-01-03 09:15:00,4179.95,4179.95,4141.0,4145.1,83693,TCS
2025-01-03 09:30:00,4144.9,4147.6,4128.45,4130.55,51071,TCS
2025-01-03 09:45:00,4130.55,4136.75,4118.05,4120.0,53387,TCS
2025-01-03 10:00:00,4120.35,4129.65,4115.95,4118.0,49390,TCS
2025-01-03 10:15:00,4118.0,4125.0,4118.0,4124.0,22237,TCS
2025-01-03 10:30:00,4124.0,4125.0,4105.55,4109.9,53386,TCS
2025-01-03 10:45:00,4109.35,4110.75,4102.0,4106.0,53667,TCS
2025-01-03 11:00:00,4106.0,4110.0,4104.0,4109.8,76532,TCS
2025-01-03 11:15:00,4109.8,4139.7,4106.95,4126.25,108354,TCS
2025-01-03 11:30:00,4126.25,4128.65,4120.8,4127.2,63111,TCS
2025-01-03 11:45:00,4126.85,4132.0,4125.5,4129.0,44223,TCS
2025-01-03 12:00:00,4129.0,4131.05,4119.85,4122.55,56385,TCS
2025-01-03 12:15:00,4122.05,4122.55,4104.65,4105.0,70212,TCS
2025-01-03 12:30:00,4105.95,4112.95,4104.05,4111.0,65382,TCS
2025-01-03 12:45:00,4111.0,4113.3,4105.0,4105.0,77243,TCS
2025-01-03 13:00:00,4105.15,4119.8,4105.0,4118.1,41568,TCS
2025-01-03 13:15:00,4118.05,4121.95,4116.5,4120.05,49042,TCS
2025-01-03 13:30:00,4120.0,4120.05,4107.1,4107.2,46860,TCS
2025-01-03 13:45:00,4107.1,4111.15,4105.0,4106.4,37924,TCS
2025-01-03 14:00:00,4106.1,4112.95,4105.3,4108.35,56981,TCS
2025-01-03 14:15:00,4108.35,4112.0,4105.05,4107.5,70722,TCS
2025-01-03 14:30:00,4108.25,4110.0,4105.5,4105.5,34415,TCS
2025-01-03 14:45:00,4105.5,4109.7,4103.8,4104.9,62344,TCS
2025-01-03 15:00:00,4104.9,4108.1,4096.0,4099.4,239176,TCS
2025-01-03 15:15:00,4099.7,4103.0,4092.3,4097.0,204953,TCS
2025-01-06 09:15:00,4105.5,4138.1,4099.9,4125.55,131169,TCS
2025-01-06 09:30:00,4126.75,4149.65,4119.0,4119.95,242520,TCS
2025-01-06 09:45:00,4119.95,4124.0,4111.75,4117.2,69875,TCS
2025-01-06 10:00:00,4116.4,4136.45,4116.15,4134.65,81516,TCS
2025-01-06 10:15:00,4134.6,4142.0,4118.2,4118.2,70290,TCS
2025-01-06 10:30:00,4118.2,4122.6,4100.0,4100.0,103353,TCS
2025-01-06 10:45:00,4100.05,4108.15,4093.05,4099.35,107041,TCS
2025-01-06 11:00:00,4098.55,4108.95,4093.0,4096.85,96416,TCS
2025-01-06 11:15:00,4096.9,4104.85,4087.35,4101.25,97113,TCS
2025-01-06 11:30:00,4101.2,4103.95,4077.0,4078.35,88904,TCS
2025-01-06 11:45:00,4078.4,4083.5,4066.4,4077.9,113144,TCS
2025-01-06 12:00:00,4079.5,4092.95,4078.65,4089.0,64669,TCS
2025-01-06 12:15:00,4089.0,4097.7,4086.15,4090.5,27464,TCS
2025-01-06 12:30:00,4090.65,4112.9,4090.4,4109.6,44513,TCS
2025-01-06 12:45:00,4110.15,4113.95,4101.3,4112.3,32283,TCS
2025-01-06 13:00:00,4111.95,4119.0,4105.95,4114.7,52629,TCS
2025-01-06 13:15:00,4114.2,4114.9,4109.8,4111.75,37870,TCS
2025-01-06 13:30:00,4110.85,4113.0,4101.55,4104.2,67747,TCS
2025-01-06 13:45:00,4104.15,4106.7,4094.5,4102.0,40413,TCS
2025-01-06 14:00:00,4100.9,4109.85,4097.35,4103.75,40697,TCS
2025-01-06 14:15:00,4103.75,4105.5,4097.55,4102.35,32919,TCS
2025-01-06 14:30:00,4102.1,4104.0,4095.4,4097.35,61807,TCS
2025-01-06 14:45:00,4096.6,4104.0,4090.25,4099.95,65297,TCS
2025-01-06 15:00:00,4099.95,4105.25,4090.0,4094.65,151090,TCS
2025-01-06 15:15:00,4094.65,4098.0,4085.25,4090.0,156918,TCS
2025-01-07 09:15:00,4114.95,4140.35,4093.15,4103.7,389755,TCS
2025-01-07 09:30:00,4102.85,4110.5,4082.0,4086.0,106034,TCS
2025-01-07 09:45:00,4085.95,4087.45,4042.05,4045.55,123963,TCS
2025-01-07 10:00:00,4045.55,4046.0,4025.0,4044.0,110108,TCS
2025-01-07 10:15:00,4044.05,4049.0,4031.0,4047.0,70800,TCS
2025-01-07 10:30:00,4047.0,4047.25,4031.1,4039.55,58687,TCS
2025-01-07 10:45:00,4039.55,4052.0,4032.0,4037.85,118454,TCS
2025-01-07 11:00:00,4036.85,4041.9,4021.65,4024.25,70315,TCS
2025-01-07 11:15:00,4024.25,4036.7,4023.25,4032.0,82729,TCS
2025-01-07 11:30:00,4032.55,4033.65,4020.0,4023.05,59976,TCS
2025-01-07 11:45:00,4023.0,4025.0,4011.55,4017.55,76717,TCS
2025-01-07 12:00:00,4017.55,4017.6,4012.0,4013.6,52085,TCS
2025-01-07 12:15:00,4013.6,4022.7,4011.8,4020.6,48698,TCS
2025-01-07 12:30:00,4020.6,4022.6,4014.9,4018.7,64806,TCS
2025-01-07 12:45:00,4018.45,4034.0,4017.35,4027.25,81989,TCS
2025-01-07 13:00:00,4027.25,4035.0,4024.75,4032.35,73912,TCS
2025-01-07 13:15:00,4032.65,4034.0,4025.75,4031.05,117979,TCS
2025-01-07 13:30:00,4031.05,4038.5,4029.75,4031.7,58485,TCS
2025-01-07 13:45:00,4031.8,4035.35,4029.0,4030.7,67175,TCS
2025-01-07 14:00:00,4030.7,4032.6,4023.2,4028.5,58195,TCS
2025-01-07 14:15:00,4029.05,4033.9,4027.1,4030.9,70135,TCS
2025-01-07 14:30:00,4030.9,4034.9,4029.0,4033.0,61439,TCS
2025-01-07 14:45:00,4033.0,4038.0,4030.0,4036.3,93333,TCS
2025-01-07 15:00:00,4037.6,4037.6,4021.35,4026.9,283451,TCS
2025-01-07 15:15:00,4026.4,4035.0,4025.25,4031.0,258568,TCS
2025-01-08 09:15:00,4034.9,4052.4,4021.1,4035.35,165951,TCS
2025-01-08 09:30:00,4035.6,4043.6,4018.0,4018.05,89952,TCS
2025-01-08 09:45:00,4018.65,4048.9,4017.75,4032.45,96222,TCS
2025-01-08 10:00:00,4032.95,4042.5,4029.0,4036.9,48255,TCS
2025-01-08 10:15:00,4036.9,4038.65,4022.05,4025.9,93070,TCS
2025-01-08 10:30:00,4027.45,4030.35,4022.05,4030.0,77984,TCS
2025-01-08 10:45:00,4030.0,4035.95,4024.5,4028.4,57504,TCS
2025-01-08 11:00:00,4028.35,4034.15,4020.4,4029.25,65948,TCS
