company_name,industry,symbol,Series,isin,index_code,scrape_date
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,NIFTYMIDCAP150,2026-02-03
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,NIFTYMIDCAP150,2026-02-03
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,NIFTYMIDCAP150,2026-02-03
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,NIFTYMIDCAP150,2026-02-03
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,NIFTYMIDCAP150,2026-02-03
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,NIFTYMIDCAP150,2026-02-03
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,NIFTYMIDCAP150,2026-02-03
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,NIFTYMIDCAP150,2026-02-03
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,NIFTYMIDCAP150,2026-02-03
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,NIFTYMIDCAP150,2026-02-03
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,NIFTYMIDCAP150,2026-02-03
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,NIFTYMIDCAP150,2026-02-03
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,NIFTYMIDCAP150,2026-02-03
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,NIFTYMIDCAP150,2026-02-03
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,NIFTYMIDCAP150,2026-02-03
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,NIFTYMIDCAP150,2026-02-03
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,NIFTYMIDCAP150,2026-02-03
