company_name,industry,symbol,Series,isin,index_code,scrape_date
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,NIFTYLARGEMIDCAP250,2026-02-03
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,NIFTYLARGEMIDCAP250,2026-02-03
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,NIFTYLARGEMIDCAP250,2026-02-03
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,NIFTYLARGEMIDCAP250,2026-02-03
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,NIFTYLARGEMIDCAP250,2026-02-03
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026,NIFTYLARGEMIDCAP250,2026-02-03
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,NIFTYLARGEMIDCAP250,2026-02-03
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,NIFTYLARGEMIDCAP250,2026-02-03
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,NIFTYLARGEMIDCAP250,2026-02-03
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,NIFTYLARGEMIDCAP250,2026-02-03
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031,NIFTYLARGEMIDCAP250,2026-02-03
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,NIFTYLARGEMIDCAP250,2026-02-03
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,NIFTYLARGEMIDCAP250,2026-02-03
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035,NIFTYLARGEMIDCAP250,2026-02-03
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,NIFTYLARGEMIDCAP250,2026-02-03
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,NIFTYLARGEMIDCAP250,2026-02-03
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011,NIFTYLARGEMIDCAP250,2026-02-03
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,NIFTYLARGEMIDCAP250,2026-02-03
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,NIFTYLARGEMIDCAP250,2026-02-03
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,NIFTYLARGEMIDCAP250,2026-02-03
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,NIFTYLARGEMIDCAP250,2026-02-03
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,NIFTYLARGEMIDCAP250,2026-02-03
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,NIFTYLARGEMIDCAP250,2026-02-03
